omega,Voltage,Current,Power
100.0,1.2399445386636354,133.5272715431425,165.5664111125758
110.0,1.2400011742546406,133.62799970655706,165.69887654942954
120.0,1.2400599818520746,133.7334418626077,165.83748948916076
130.0,1.2401183448667732,133.8370013643504,165.9737206138903
140.0,1.2401764773708488,133.9411658555436,166.11068324567267
150.0,1.240232840698552,134.04109589121353,166.24216912750677
160.0,1.240286036651718,134.13627766105836,166.36735219144848
170.0,1.2403364088661026,134.22625343863282,166.4857091656252
180.0,1.2403827419240863,134.30816946941306,166.59353550927543
190.0,1.2404250572023698,134.38378330248221,166.69301209005238
200.0,1.2404625359785442,134.44979050753875,166.77992809476552
210.0,1.24049535120524,134.5084953376311,166.85716316394306
220.0,1.2405230051654461,134.55788015264446,166.92214585565043
230.0,1.2405453536906603,134.59707966877812,166.97378180343435
240.0,1.2405624662752976,134.6277856635191,167.0141778119174
250.0,1.2405742067907097,134.64810778562057,167.04096951201623
260.0,1.2405806755690405,134.66000682428205,167.05660223819942
270.0,1.2405819333382389,134.66165333866766,167.05881424540803
280.0,1.240578043803581,134.65527857654914,167.05038208432157
290.0,1.2405693012771632,134.63923266052387,167.02929878615953
300.0,1.2405556286585142,134.6155153449946,166.99803526599965
310.0,1.2405376163767723,134.5830268964653,166.95530739091208
320.0,1.2405150041453914,134.5434980435647,166.90322803324813
275.0,1.2405805744423244,134.65997955688772,167.05655479307543
279.0,1.2405786508971928,134.65638976653474,167.05184235125424
277.78174593052023,1.2405793206579576,134.6576416654156,167.053485618684
